jurisdiction,title,match_text,date,file_link
Santa Ana,"2021-001 - Condemning the Acts of Armed Violence, Domestic Terrorism, and Insurrection","2021-001 - Condemning the Acts of Armed Violence, Domestic Terrorism, and Insurrection",2021-01-14,https://publicdocs.santa-ana.org/WebLink/1/doc/125815/Page1.aspx
Santa Ana,2021-002 - Accepting the Donation of Tactical Medical Equipment,2021-002 - Accepting the Donation of Tactical Medical Equipment,2021-01-21,https://publicdocs.santa-ana.org/WebLink/1/doc/125884/Page1.aspx
Santa Ana,2021-003 - Adopting a Mitigated Negative Declaration and Mitigation Monitoring,2021-003 - Adopting a Mitigated Negative Declaration and Mitigation Monitoring,2021-01-21,https://publicdocs.santa-ana.org/WebLink/1/doc/125883/Page1.aspx
Santa Ana,2021-004 - Approving General Plan Amendment No. 2020-07,2021-004 - Approving General Plan Amendment No. 2020-07,2021-01-21,https://publicdocs.santa-ana.org/WebLink/1/doc/125885/Page1.aspx
Santa Ana,2021-005 - Approving Applications for Per Capita Grant Funds,2021-005 - Approving Applications for Per Capita Grant Funds,2021-02-22,https://publicdocs.santa-ana.org/WebLink/1/doc/126202/Page1.aspx
Santa Ana,2021-006 - Authorizing the Agreement Between Police Officer Ryan Shifflett,2021-006 - Authorizing the Agreement Between Police Officer Ryan Shifflett,2021-02-03,https://publicdocs.santa-ana.org/WebLink/1/doc/126040/Page1.aspx
Santa Ana,2021-007 - Instructing the City Manager and City Attorney in Consultation,2021-007 - Instructing the City Manager and City Attorney in Consultation,2021-02-04,https://publicdocs.santa-ana.org/WebLink/1/doc/126045/Page1.aspx
Santa Ana,2021-008 - Approving the Application for Statewide Park Development,2021-008 - Approving the Application for Statewide Park Development,2021-03-03,https://publicdocs.santa-ana.org/WebLink/1/doc/126350/Page1.aspx
Santa Ana,2021-009 - Approving the Application for Statewide Park Development,2021-009 - Approving the Application for Statewide Park Development,2021-03-03,https://publicdocs.santa-ana.org/WebLink/1/doc/126352/Page1.aspx
Santa Ana,"2021-010 - Accepting the 2021 National Fitness Campaign Grant of $30,000","2021-010 - Accepting the 2021 National Fitness Campaign Grant of $30,000",2021-03-04,https://publicdocs.santa-ana.org/WebLink/1/doc/126362/Page1.aspx
