Official Name,Filing Year,Filing Type,Schedule,Name of Business Entity or Source,Fair Market Value,Nature of Investment or Interest
Susan Gorin,2024,Annual,A1 - Publicly Traded Investment,DXC (DXC Technology Co),"$2,000 - $10,000",Stock
Susan Gorin,2024,Annual,A1 - Publicly Traded Investment,HPE (Hewlett Packard Enterprises Company),"$10,001 - $100,000",Stock
Susan Gorin,2024,Annual,A1 - Publicly Traded Investment,HPQ (HP Inc),"$100,001 - $1,000,000",Stock
Susan Gorin,2024,Annual,A1 - Publicly Traded Investment,KEYS (Keysight Technologies Inc.),"$100,001 - $1,000,000",Stock
Susan Gorin,2024,Annual,A1 - Publicly Traded Investment,MFGP (Micro Focus International),"$2,000 - $10,000",Stock
Susan Gorin,2024,Annual,A1 - Publicly Traded Investment,PRSP (Perspecta Inc.),"$2,000 - $10,000",Stock
Susan Gorin,2024,Annual,D - Gift,Sonoma County Economic Development Board,$55,tickets to anual economic breakfast
Susan Gorin,2024,Annual,D - Gift,Sonoma Valley Education Foundation,$65,Ticket for Red and White Ball event
Susan Gorin,2023,Annual,A1 - Publicly Traded Investment,DXC (DXC Technology Co),"$2,000 - $10,000",Stock
Susan Gorin,2023,Annual,A1 - Publicly Traded Investment,HPE (Hewlett Packard Enterprises Company),"$10,001 - $100,000",Stock
Susan Gorin,2023,Annual,A1 - Publicly Traded Investment,HPQ (HP Inc),"$100,001 - $1,000,000",Stock
Susan Gorin,2023,Annual,A1 - Publicly Traded Investment,KEYS (Keysight Technologies Inc.),"$100,001 - $1,000,000",Stock
Susan Gorin,2023,Annual,A1 - Publicly Traded Investment,MFGP (Micro Focus International),"$2,000 - $10,000",Stock
Susan Gorin,2023,Annual,A1 - Publicly Traded Investment,PRSP (Perspecta Inc.),"$2,000 - $10,000",Stock
Susan Gorin,2023,Annual,D - Gift,Sonoma County Economic Development Board,$70,ticket to annual economic breakfast
Susan Gorin,2023,Annual,D - Gift,Los Cien,$60,ticket to annual State of the Latino County half day event
Susan Gorin,2023,Annual,D - Gift,Sonoma International Film Festival,$400,"""Cinema Only"" pass to Sonoma International Film Festival"
