Official Name,Vote Outcome,File Number,Agenda Item Subject,Vote Date,Meeting Type,Overall Result,Link
Susan Gorin,Aye,2019-0415,9:00 A.M. - 2018 Sonoma County Crop Report,2019-08-20,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4043
David Rabbitt,Aye,2019-0415,9:00 A.M. - 2018 Sonoma County Crop Report,2019-08-20,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4043
Shirlee Zane,Aye,2019-0415,9:00 A.M. - 2018 Sonoma County Crop Report,2019-08-20,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4043
James Gore,Aye,2019-0415,9:00 A.M. - 2018 Sonoma County Crop Report,2019-08-20,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4043
Lynda Hopkins,Aye,2019-0415,9:00 A.M. - 2018 Sonoma County Crop Report,2019-08-20,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4043
Susan Gorin,Aye,2019-0716,New County Government Center Technical Advisor Selection,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4344
David Rabbitt,Aye,2019-0716,New County Government Center Technical Advisor Selection,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4344
Shirlee Zane,Aye,2019-0716,New County Government Center Technical Advisor Selection,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4344
James Gore,Aye,2019-0716,New County Government Center Technical Advisor Selection,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4344
Lynda Hopkins,Aye,2019-0716,New County Government Center Technical Advisor Selection,2019-07-23,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4344
Susan Gorin,Aye,2019-0754,Receive Report on Emergency Work to Stabilize Dangerous Conditions Resulting From the 2019 Winter Storms and Flooding and Make Findings to Extend Suspension of Competitive Bidding.,2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4382
David Rabbitt,Aye,2019-0754,Receive Report on Emergency Work to Stabilize Dangerous Conditions Resulting From the 2019 Winter Storms and Flooding and Make Findings to Extend Suspension of Competitive Bidding.,2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4382
Shirlee Zane,Aye,2019-0754,Receive Report on Emergency Work to Stabilize Dangerous Conditions Resulting From the 2019 Winter Storms and Flooding and Make Findings to Extend Suspension of Competitive Bidding.,2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4382
James Gore,Aye,2019-0754,Receive Report on Emergency Work to Stabilize Dangerous Conditions Resulting From the 2019 Winter Storms and Flooding and Make Findings to Extend Suspension of Competitive Bidding.,2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4382
Lynda Hopkins,Aye,2019-0754,Receive Report on Emergency Work to Stabilize Dangerous Conditions Resulting From the 2019 Winter Storms and Flooding and Make Findings to Extend Suspension of Competitive Bidding.,2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4382
Susan Gorin,Aye,2019-0755,Professional Services Agreement for Juvenile Evening Reporting Center,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4383
David Rabbitt,Aye,2019-0755,Professional Services Agreement for Juvenile Evening Reporting Center,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4383
Shirlee Zane,Aye,2019-0755,Professional Services Agreement for Juvenile Evening Reporting Center,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4383
James Gore,Aye,2019-0755,Professional Services Agreement for Juvenile Evening Reporting Center,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4383
Lynda Hopkins,Aye,2019-0755,Professional Services Agreement for Juvenile Evening Reporting Center,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4383
Susan Gorin,Aye,2019-0756,"Miscellaneous Classification, Compensation, and Allocation Changes",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4384
David Rabbitt,Aye,2019-0756,"Miscellaneous Classification, Compensation, and Allocation Changes",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4384
Shirlee Zane,Aye,2019-0756,"Miscellaneous Classification, Compensation, and Allocation Changes",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4384
James Gore,Aye,2019-0756,"Miscellaneous Classification, Compensation, and Allocation Changes",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4384
Lynda Hopkins,Aye,2019-0756,"Miscellaneous Classification, Compensation, and Allocation Changes",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4384
Susan Gorin,Aye,2019-0757,Association of California Water Agencies Nomination for Board Member 2020-2021,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4385
David Rabbitt,Aye,2019-0757,Association of California Water Agencies Nomination for Board Member 2020-2021,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4385
